SOURCE_REPORTING_UNIT_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,STAT_CAUSE_CODE,STAT_CAUSE_DESCR,CONT_DATE,CONT_DOY,CONT_TIME,OWNER_DESCR,STATE,COUNTY
Shasta-Trinity National Forest,2015,2457233.5,211,2015.0,1,Lightning,2457239.5,217.0,1900.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457235.5,213,1000.0,1,Lightning,2457239.5,217.0,1900.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457183.5,161,1339.0,1,Lightning,2457185.5,163.0,900.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457182.5,160,1943.0,1,Lightning,2457189.5,167.0,2000.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457234.5,212,1300.0,1,Lightning,2457236.5,214.0,1730.0,USFS,CA,103
Shasta-Trinity National Forest,2015,2457242.5,220,1930.0,1,Lightning,2457244.5,222.0,1040.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457223.5,201,1930.0,1,Lightning,2457225.5,203.0,1600.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457233.5,211,1910.0,1,Lightning,2457252.5,230.0,2000.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457233.5,211,1900.0,1,Lightning,2457256.5,234.0,2000.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457233.5,211,1700.0,1,Lightning,2457237.5,215.0,800.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457233.5,211,1700.0,1,Lightning,2457237.5,215.0,1000.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457233.5,211,1700.0,1,Lightning,2457237.5,215.0,1000.0,USFS,CA,103
Shasta-Trinity National Forest,2015,2457233.5,211,1930.0,1,Lightning,2457325.5,303.0,1000.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457233.5,211,1700.0,1,Lightning,2457235.5,213.0,2000.0,USFS,CA,103
Shasta-Trinity National Forest,2015,2457233.5,211,1700.0,1,Lightning,2457235.5,213.0,1400.0,USFS,CA,103
Shasta-Trinity National Forest,2015,2457233.5,211,1700.0,1,Lightning,2457237.5,215.0,1400.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457233.5,211,1700.0,1,Lightning,2457237.5,215.0,800.0,USFS,CA,103
Shasta-Trinity National Forest,2015,2457233.5,211,2200.0,1,Lightning,2457300.5,278.0,900.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457233.5,211,1813.0,1,Lightning,2457325.5,303.0,1000.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457182.5,160,1843.0,1,Lightning,2457325.5,303.0,1000.0,USFS,CA,105
Shasta-Trinity National Forest,2015,2457182.5,160,1800.0,1,Lightning,2457186.5,164.0,1030.0,USFS,CA,105
